student_id,name,email,section
S001,Student 1,s001@university.edu,CSEA-I
S002,Student 2,s002@university.edu,CSEA-I
S003,Student 3,s003@university.edu,CSEA-I
S004,Student 4,s004@university.edu,CSEA-I
S005,Student 5,s005@university.edu,CSEA-I
S006,Student 6,s006@university.edu,CSEA-I
S007,Student 7,s007@university.edu,CSEA-I
S008,Student 8,s008@university.edu,CSEA-I
S009,Student 9,s009@university.edu,CSEA-I
S010,Student 10,s010@university.edu,CSEA-I
S011,Student 11,s011@university.edu,CSEA-I
S012,Student 12,s012@university.edu,CSEA-I
S013,Student 13,s013@university.edu,CSEA-I
S014,Student 14,s014@university.edu,CSEA-I
S015,Student 15,s015@university.edu,CSEA-I
S016,Student 16,s016@university.edu,CSEA-I
S017,Student 17,s017@university.edu,CSEA-I
S018,Student 18,s018@university.edu,CSEA-I
S019,Student 19,s019@university.edu,CSEA-I
S020,Student 20,s020@university.edu,CSEA-I
S021,Student 21,s021@university.edu,CSEA-I
S022,Student 22,s022@university.edu,CSEA-I
S023,Student 23,s023@university.edu,CSEA-I
S024,Student 24,s024@university.edu,CSEA-I
S025,Student 25,s025@university.edu,CSEA-I
S026,Student 26,s026@university.edu,CSEA-I
S027,Student 27,s027@university.edu,CSEA-I
S028,Student 28,s028@university.edu,CSEA-I
S029,Student 29,s029@university.edu,CSEA-I
S030,Student 30,s030@university.edu,CSEA-I
S031,Student 31,s031@university.edu,CSEB-I
S032,Student 32,s032@university.edu,CSEB-I
S033,Student 33,s033@university.edu,CSEB-I
S034,Student 34,s034@university.edu,CSEB-I
S035,Student 35,s035@university.edu,CSEB-I
S036,Student 36,s036@university.edu,CSEB-I
S037,Student 37,s037@university.edu,CSEB-I
S038,Student 38,s038@university.edu,CSEB-I
S039,Student 39,s039@university.edu,CSEB-I
S040,Student 40,s040@university.edu,CSEB-I
S041,Student 41,s041@university.edu,CSEB-I
S042,Student 42,s042@university.edu,CSEB-I
S043,Student 43,s043@university.edu,CSEB-I
S044,Student 44,s044@university.edu,CSEB-I
S045,Student 45,s045@university.edu,CSEB-I
S046,Student 46,s046@university.edu,CSEB-I
S047,Student 47,s047@university.edu,CSEB-I
S048,Student 48,s048@university.edu,CSEB-I
S049,Student 49,s049@university.edu,CSEB-I
S050,Student 50,s050@university.edu,CSEB-I
S051,Student 51,s051@university.edu,CSEB-I
S052,Student 52,s052@university.edu,CSEB-I
S053,Student 53,s053@university.edu,CSEB-I
S054,Student 54,s054@university.edu,CSEB-I
S055,Student 55,s055@university.edu,CSEB-I
S056,Student 56,s056@university.edu,CSEB-I
S057,Student 57,s057@university.edu,CSEB-I
S058,Student 58,s058@university.edu,CSEB-I
S059,Student 59,s059@university.edu,CSEB-I
S060,Student 60,s060@university.edu,CSEB-I
